Name,Country,Brand,Categories,Type,Tasting Notes,ABV,IBU,Calories Per Serving (12 OZ/0.35L),Carbs Per Serving (12 OZ/0.35L),Food Pairing,Suggested Serving Temperature,Rating,Rate Count,Price,Volume,Description
Beer E,Country C,Brand A,Category B,Type C,Note B,9.0,93,222,19.0,Food Pairing A,Room temperature,1.4,64,6.11,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category A,Type B,Note B,12.0,4,120,27.0,Food Pairing A,Room temperature,3.2,332,17.21,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category C,Type C,Note C,3.0,0,175,9.0,Food Pairing A,Room temperature,3.9,373,5.22,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category B,Type A,Note C,11.0,66,271,9.0,Food Pairing A,Cold,2.1,280,17.51,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type C,Note A,10.0,23,171,8.0,Food Pairing A,Cold,2.8,451,16.05,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category C,Type B,Note C,6.0,24,148,12.0,Food Pairing B,Cold,4.3,318,6.95,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category B,Type B,Note C,3.0,20,139,4.0,Food Pairing A,Cold,1.1,155,19.84,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category B,Type C,Note B,8.0,31,107,19.0,Food Pairing A,Room temperature,2.2,392,18.01,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category B,Type A,Note B,5.0,27,155,18.0,Food Pairing C,Chilled,1.5,417,9.32,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category B,Type A,Note C,9.0,42,297,4.0,Food Pairing A,Chilled,4.1,13,5.46,12 OZ/0.35L,Beer description
Beer C,Country A,Brand B,Category B,Type B,Note A,11.0,44,141,17.0,Food Pairing B,Cold,2.1,491,3.58,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category C,Type A,Note A,4.0,82,118,3.0,Food Pairing C,Room temperature,3.7,493,11.72,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category A,Type C,Note B,10.0,89,202,7.0,Food Pairing A,Cold,2.3,462,16.35,12 OZ/0.35L,Beer description
Beer C,Country A,Brand B,Category C,Type B,Note A,8.0,27,140,17.0,Food Pairing C,Chilled,4.2,321,14.74,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category C,Type B,Note C,11.0,79,183,10.0,Food Pairing B,Chilled,1.7,230,12.84,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category C,Type B,Note C,5.0,66,103,11.0,Food Pairing A,Room temperature,4.9,57,14.13,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category A,Type A,Note A,5.0,42,116,24.0,Food Pairing A,Cold,3.7,127,16.58,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category B,Type A,Note C,11.0,28,114,7.0,Food Pairing A,Cold,4.4,27,1.44,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category B,Type A,Note A,4.0,56,209,23.0,Food Pairing B,Chilled,1.3,16,3.64,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category C,Type A,Note A,11.0,78,258,10.0,Food Pairing A,Room temperature,2.1,105,19.08,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category B,Type C,Note C,9.0,76,273,9.0,Food Pairing C,Cold,1.0,362,4.11,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type A,Note C,12.0,84,199,18.0,Food Pairing B,Cold,1.5,474,1.21,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category A,Type A,Note A,10.0,47,264,8.0,Food Pairing B,Room temperature,1.2,268,11.25,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category A,Type A,Note B,11.0,89,188,15.0,Food Pairing B,Cold,2.5,411,5.21,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category C,Type A,Note A,11.0,20,159,15.0,Food Pairing C,Room temperature,3.4,226,1.13,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category B,Type C,Note A,6.0,51,287,3.0,Food Pairing A,Cold,4.9,43,9.65,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category A,Type C,Note C,5.0,4,220,7.0,Food Pairing B,Room temperature,1.5,72,3.86,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category A,Type C,Note A,10.0,39,293,3.0,Food Pairing B,Chilled,5.0,253,19.02,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category A,Type A,Note C,11.0,31,167,24.0,Food Pairing B,Room temperature,4.0,338,7.13,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category B,Type A,Note A,7.0,9,149,24.0,Food Pairing B,Chilled,3.9,306,3.56,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type A,Note C,12.0,37,107,26.0,Food Pairing B,Chilled,1.3,451,6.15,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category A,Type C,Note B,8.0,38,109,7.0,Food Pairing A,Cold,3.8,61,2.59,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category B,Type C,Note A,8.0,10,212,3.0,Food Pairing A,Chilled,2.3,361,6.56,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category C,Type B,Note B,10.0,72,235,28.0,Food Pairing A,Chilled,3.0,460,8.33,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category A,Type C,Note C,9.0,23,268,26.0,Food Pairing A,Chilled,4.0,158,6.2,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category C,Type C,Note C,9.0,31,134,5.0,Food Pairing B,Room temperature,1.3,45,2.8,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category A,Type A,Note B,10.0,94,185,8.0,Food Pairing C,Chilled,2.2,71,18.5,12 OZ/0.35L,Beer description
Beer E,Country C,Brand A,Category C,Type C,Note A,9.0,68,213,7.0,Food Pairing C,Chilled,1.7,381,15.84,12 OZ/0.35L,Beer description
Beer D,Country B,Brand B,Category A,Type A,Note C,8.0,55,240,18.0,Food Pairing A,Room temperature,2.8,363,9.66,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category C,Type B,Note B,3.0,56,245,11.0,Food Pairing C,Room temperature,4.4,428,10.8,12 OZ/0.35L,Beer description
