Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
Wine E,Country A,Brand A,Category B,Note C,11.9,Food Pairing A,Glassware A,Cellar Temperature,Dry,Full,4.5,493,55.92,750 mL,Wine description
Wine A,Country C,Brand A,Category A,Note B,13.4,Food Pairing A,Glassware C,Chilled,Dry,Light,4.2,346,37.52,750 mL,Wine description
Wine B,Country B,Brand A,Category B,Note A,14.2,Food Pairing B,Glassware A,Room Temperature,Dry,Light,2.2,62,80.08,750 mL,Wine description
Wine C,Country B,Brand C,Category B,Note C,13.6,Food Pairing A,Glassware C,Chilled,Dry,Light,1.3,206,79.14,750 mL,Wine description
Wine B,Country A,Brand B,Category C,Note B,11.5,Food Pairing A,Glassware A,Chilled,Sweet,Full,3.8,489,73.18,750 mL,Wine description
Wine A,Country B,Brand C,Category C,Note B,13.8,Food Pairing A,Glassware A,Room Temperature,Sweet,Medium,3.1,111,64.13,750 mL,Wine description
Wine D,Country A,Brand A,Category B,Note B,10.5,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Light,3.1,84,92.16,750 mL,Wine description
Wine C,Country B,Brand A,Category C,Note A,12.7,Food Pairing C,Glassware B,Chilled,Dry,Full,2.1,329,52.82,750 mL,Wine description
Wine B,Country B,Brand B,Category C,Note B,14.5,Food Pairing B,Glassware A,Chilled,Dry,Full,4.1,379,84.22,750 mL,Wine description
Wine D,Country A,Brand B,Category C,Note B,13.0,Food Pairing B,Glassware C,Chilled,Sweet,Medium,1.9,267,13.8,750 mL,Wine description
Wine E,Country B,Brand A,Category C,Note B,11.1,Food Pairing A,Glassware C,Room Temperature,Sweet,Full,4.9,434,72.99,750 mL,Wine description
Wine C,Country C,Brand C,Category B,Note B,10.1,Food Pairing C,Glassware A,Chilled,Sweet,Full,2.9,51,48.08,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note B,14.4,Food Pairing B,Glassware C,Room Temperature,Sweet,Light,1.3,495,45.06,750 mL,Wine description
Wine D,Country C,Brand C,Category A,Note A,14.6,Food Pairing C,Glassware A,Room Temperature,Sweet,Light,1.0,57,35.74,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note C,15.0,Food Pairing B,Glassware A,Room Temperature,Dry,Light,3.2,258,70.71,750 mL,Wine description
