,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
9,Block 537 Merlot Dry Creek,France,Vineyard Block Estate,"Merlot, Red Wine",,13.90%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$20.99 ,,"The wine is velvety and lush, with aromas and flavors of dark cherries and sweet red fruits. The tannins are soft and supple, and the wine carries a long, smooth finish. A delicious wine for drinking now."
10,Block 049 Merlot,France,Vineyard Block Estate,"Merlot, Red Wine",,14.50%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$21.99 ,,"Ripe and velvety on the palate. The aromas are deep and smooth, redolent with ripe plums and blueberries with a fresh and lingering finish."
23,Block 115 Arroyo Grande Valley Pinot Noir,United States,Vineyard Block Estate,"Pinot Noir, Red Wine",,14%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$24.99 ,,"Bright fruit aromas offer a perfumed nose of wild raspberry, maraschino cherries, rhubarb and rose petals that yield to a dark & mysterious palate with framboise, brown sugar, dark chocolate, vanilla smoke and toasted meringue."
24,Block 664 Pinot Noir Pommard,France,Vineyard Block Estate,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$25.99 ,,"Block 664 shows expertise in balancing power and richness with finesse and poise. Black currant, dried plum and wet stone dance on the palate with hints of white pepper, sweet graham cracker crust and truffle for a medium long finish with polished tannins."
29,Block 012 Red Wine Oak Knoll,United States,Vineyard Block Estate,"Red Blend, Red Wine",,14.50%,,,,,,5,1,$20.99 ,,"The Block 012 is a red blend from the Oak Knoll district just north of the city of Napa. The climate is a little cooler there than farther north and the vineyards on the valley floor produce a wine with deep ruby color, notes of blackberry, currant and plum, a touch of vanilla from the oak and ripe tannins."
47,Block 723 Cabernet Sauvignon,France,Vineyard Block Estate,"Cabernet Sauvignon, Red Wine",,14.20%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$23.99 ,,"Wild blackberry and forest floor notes enthusiastically emerge from the glass as sweet cigar smoke and perfumed violet weave throughout. Layers of chocolate covered cherries, anise and salty sea air are underscored by rich cedar with firm, yet supple tannin unwinding through time in the glass. Look to pair with a mushroom topped bison burger."
48,Block 426 Cabernet Sauvignon Chalk Hill,United States,Vineyard Block Estate,"Cabernet Sauvignon, Red Wine",,14.70%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$19.99 ,,"Dense aromas of dark chocolate and toasted vanilla oak. Polished tannins with a massive, yet refined structure. Long, velvety finish. 100% mountain fruit."
50,Block 220 Red Mountain Cabernet Sauvignon,United States,Vineyard Block Estate,"Cabernet Sauvignon, Red Wine",,14.60%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$27.99 ,,
73,Kelleher Block 21 Sauvignon Blanc,France,Vineyard Block Estate,"Sauvignon Blanc, White Wine",,14.50%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$29.99 ,,"The aromas are dominated by tropical notes, as well as a hint of stone fruit and melon. Aging was done in 90% stainless steel barrels and 10% used French oak and we find that this combination really enhances the fruit from this St. Helena vineyard. Crisp and clean and in perfect balance."
76,Block 26 Sparkling Brut Rosé,United States,Vineyard Block Estate,"Pink Wine, Ros Wine",,12.50%,,,,,,5,1,$29.99 ,,"The Brut Rosé is a blend of Chardonnay and Pinot Noir resulting in a complex, elegant and youthful wine. With Block 26, Block Estate Wines invites you to enjoy a rosé full of intriguing notes of pale strawberry, toasted almond and lively citrus blossom. Refined elegance and youthful finesse, this wine creates its own occasion."
